date,max_temp,min_temp,avg_temp
2025-12-13,10.3,8.3,9.3
2025-12-14,8.1,5.3,6.699999999999999
2025-12-15,11.5,4.9,8.2
2025-12-16,14.6,10.1,12.35
2025-12-17,11.5,7.9,9.7
2025-12-18,15.5,7.9,11.7
2025-12-19,13.2,8.4,10.8
2025-12-20,10.3,8.1,9.2
